"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bosnia and Herzegovina","BIH","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","99.3000030517578","100","100","100","99.7146911621094","100","100","100","100","99.7639312744141","100","100","100","100","100","100","100","100","100","","",
"Belarus","BLR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Belize","BLZ","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","94.394660949707","94.5817260742188","94.7624740600586","94.9337387084961","95.0923690795898","95.2352066040039","95.3590850830078","95.4625244140625","95","95.6140594482422","95.6921920776367","95.7759475708008","95.8722686767578","95.9880981445313","98.067138671875","96.2892227172852","96.4652481079102","96.6506729125977","96.999641418457","96.313362121582","97.2064361572266","97.3738327026367","97.52978515625","96.9000015258789","97.8149795532227","97.9685745239258","97.9000015258789","98.4800033569336","98.3316497802734","","",
"Bermuda","BMU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bolivia","BOL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.571038","96.038393","93","94.3611602783203","96.7","95.815075","96.1","97.837216","95.8121109008789","94.2111358642578","88.5792083740234","94","96.1399765014648","89.9208831787109","95.1707305908203","98.1952819824219","99.2279434204102","98.8741149902344","98.8123245239258","99.0792617797852","99.2329330444336","99.5200729370117","99.3108444213867","99.4643478393555","99.5","99.4000015258789","99.5","99.4800033569336","100","","",
"Brazil","BRA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.538681","98.2193756103516","97.523788","98.033975","98.5986251831055","98.589696","98.915038","99.056926","99.137016","99.186252","99.0229034423828","99.2151184082031","99.4269943237305","99.5041809082031","99.5853042602539","99.6348190307617","99.708740234375","99.7814483642578","99.8217468261719","99.851676940918","99.8000030517578","99.898567199707","99.9274215698242","99.9350128173828","99.945556640625","99.9561996459961","99.9000015258789","99.9000015258789","99.9000015258789","100","100","","",
"Barbados","BRB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.9873886108398","100","100","99.8625717163086","99.833740234375","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.7399978637695","97.0871200561523","97.2025451660156","97.4000015258789","97.4571914672852","96.7763824462891","97.7877731323242","98.7300033569336","98.1993255615234","98.4220352172852","99.3055572509766","99.3797607421875","99.5999984741211","99.4670944213867","99.4875869750977","99.6712875366211","99.8473587036133","99.0999984741211","99.9904632568359","100","100","","",
"Botswana","BWA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","18.3537273406982","20.9881744384766","23.616304397583","26.234956741333","28.840970993042","31.431188583374","34.0024490356445","36.5532760620117","39.0983467102051","37","44.1400489807129","46.6658554077148","49.2042274475098","51.7621078491211","54.3443374633789","56.947338104248","60.0999984741211","60.7599983215332","68.1186676025391","69.129997253418","72.6826782226563","74.7909851074219","76.7445907592773","79.5800018310547","80.951301574707","84","85.5979843139648","88.1673736572266","90.7364501953125","","",
